2023년 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도(년)",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,,,
,,,,,,,,,국비,지방비,기타,합계, 내국인(명) ,외국인(명),전담조직명,조직형태,설립근거,,성명,연락처,,
55,서울,도봉구,도봉옛길 문화제,문화예술,5월 중,"도봉옛길
도봉구 일대",대면,2021, - ,50, - ,50,"5,000", - ,도봉문화원,법정법인,"ㅇ 지방문화원진흥법
ㅇ 서울특별시 지방문화원 설립ㆍ운영
    등에 관한 조례",,진현우,02-905-4026,,
56,서울,도봉구,제12회 정의공주와 함께하는 도봉한글잔치,문화예술,10월 중,"원당샘 공원
도봉구 방학동 일대",대면,2012, - ,31, - ,31,"1,000", - ,도봉문화원,법정법인,"ㅇ 지방문화원진흥법
ㅇ 서울특별시 지방문화원 설립ㆍ운영
    등에 관한 조례",,진현우,02-905-4026,,
57,서울,노원구,노원 수제맥주축제,기타(주민화합 등),6.2.~6.3.,노원불빛정원,대면,2023,0,220,0,220, - ,-,노원문화재단,재단법인,서울특별시 노원구 문화재단 설립 및 운영에 관한 조례(2019년),,남예운,02-2116-3776,,
58,서울,노원구,노원달빛산책,문화예술,10.13.~10.29.,당현천 일원,대면,2018,0,600,0,600,"138,492",71,노원문화재단,재단법인,서울특별시 노원구 문화재단 설립 및 운영에 관한 조례(2019년),,남예운,02-2116-3776,,
59,서울,노원구,노원탈축제,문화예술,10.7.~10.8.,노해로 일원,대면,2013,0,700,0,700,"122,895",20,노원문화재단,재단법인,서울특별시 노원구 문화재단 설립 및 운영에 관한 조례(2019년),,남예운,02-2116-3776,,
60,서울,용산구,2023 서울비보이페스티벌,문화예술,6.03,노들섬,대면,2022,0,290,0,290,"9,900",100,서울문화재단,재단법인,서울특별시 재단법인 서울문화재단 설립 및 운영에 관한 조례(2003년),_,_,_,,
61,서울,용산구,"한강노들섬X오페라,발레",문화예술,10월 중,노들섬,대면,2022,0,870,0,870,"5,800",200,서울문화재단,재단법인,서울특별시 재단법인 서울문화재단 설립 및 운영에 관한 조례(2003년),_,_,_,,
62,서울,중구,제2회 서울생활예술축제,문화예술,09.23.~09.24.,장충체육관,대면,2022,0,645,0,645,"2,340",0,서울문화재단,재단법인,서울특별시 재단법인 서울문화재단 설립 및 운영에 관한 조례(2003년),_,_,_,,
63,서울,종로구,2023 서울서커스예술축제,문화예술,05.05~05.07.,"열린송현녹지광장
(예정)",대면,2018,0,620,0,620,"17,884",50,서울문화재단,재단법인,서울특별시 재단법인 서울문화재단 설립 및 운영에 관한 조례(2003년),_,_,_,,
64,서울,중구,"서울거리예술축제2023
(前 하이서울페스티벌)",문화예술,10.7.~8.(예정),서울광장 일대,대면,2003,0,110,0,110,"117,357",0,서울문화재단,재단법인,서울특별시 재단법인 서울문화재단 설립 및 운영에 관한 조례(2003년),_,_,_,,
65,서울,중구,제2회 서울융합예술페스티벌 언폴드엑스2023,문화예술,"11.20~12.3
(예정)","문화역서울
284",대면,2010,0,879,0,879,"7,523",0,서울문화재단,재단법인,서울특별시 재단법인 서울문화재단 설립 및 운영에 관한 조례(2003년),_,_,_,,
66,서울,마포구,제22회 서울억새축제,생태자연,10.14.~10.20.,하늘공원,대면,2002,-,260,-,260,"670,000",0,"서부공원여가센터
공원여가과",지자체,해당없음,-,황의식,02-300-5581,,
67,서울,-,서울대공원 벚꽃축제,생태자연,4.8.~4.16.,서울대공원 일대,대면,2016,0,70,0,70,"273,000",,서울대공원,지자체,서울특별시 도시공원 조례 (1981년),서울특별시,임명경,02-500-7022,,
68,서울,-,제23회 장미원축제,생태자연,5.28.~6.6.,서울대공원 테마가든,대면,2001,0,80,0,80,"155,000",,서울대공원,지자체,서울특별시 도시공원 조례 (1981년),서울특별시,임명경,02-500-7022,,
